cohort,cohort_years,dod_occ_code_level,dod_occ_code,ind_level,industry,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn
2000,8,2,14X,A,00,3977,4593,3926,23990,31570,38170,36800,47440,55950,53500,68940,81270,1,1,1,1,1,1
2000,8,2,15X,A,00,28170,31240,24010,24670,33140,37320,36120,47320,53450,52390,67870,77330,1,1,1,1,1,1
2000,8,2,16X,A,00,30860,32640,25870,24430,32360,36880,35800,46930,52630,50730,64740,72740,1,1,1,1,1,1
2000,8,2,17X,A,00,9215,10150,8388,22880,31140,36660,33100,44330,51220,45990,60610,71020,1,1,1,1,1,1
2000,8,2,18X,A,00,22450,24250,18970,22260,29540,33590,32240,42480,48450,44440,58260,68400,1,1,1,1,1,1
2008,8,A,000,A,00,129400,64620,,23470,30190,,35190,44350,,53650,64890,,1,1,-1,1,1,-1
2008,8,A,000,N,11,578,198,,20530,22800,,27100,32900,,36670,45200,,1,1,-1,1,1,-1
2008,8,A,000,N,21,2993,1176,,38840,51270,,56380,73880,,75720,97850,,1,1,-1,1,1,-1
2008,8,A,000,N,22,671,458,,31320,48200,,43330,66230,,59960,86480,,1,1,-1,1,1,-1
2008,8,A,000,N,23,8363,3411,,22700,27740,,31590,39240,,43640,55710,,1,1,-1,1,1,-1
2008,8,A,000,N,31-33,12180,6056,,24880,31580,,34730,43450,,49260,60750,,1,1,-1,1,1,-1
2008,8,A,000,N,42,5630,2692,,24200,30730,,33790,43010,,46630,59350,,1,1,-1,1,1,-1
2008,8,A,000,N,44-45,11140,4462,,17670,20080,,22810,27540,,32140,39400,,1,1,-1,1,1,-1
2008,8,A,000,N,48-49,8103,3244,,23010,28560,,33220,40740,,48770,58210,,1,1,-1,1,1,-1
2008,8,A,000,N,51,2593,1319,,28120,35450,,39820,49680,,61960,69240,,1,1,-1,1,1,-1
2008,8,A,000,N,52,1968,1218,,22560,31260,,32270,44400,,45530,61620,,1,1,-1,1,1,-1
2008,8,A,000,N,53,1701,722,,22090,26070,,30420,37200,,43200,50990,,1,1,-1,1,1,-1
2008,8,A,000,N,54,17020,7120,,44390,46900,,66890,69280,,96480,98950,,1,1,-1,1,1,-1
2008,8,A,000,N,55,1225,631,,24060,32030,,37760,46210,,60900,67540,,1,1,-1,1,1,-1
2008,8,A,000,N,56,17390,6056,,20330,23330,,28500,33770,,43350,52030,,1,1,-1,1,1,-1
2008,8,A,000,N,61,3386,2349,,27070,29260,,44330,44190,,61030,61580,,1,1,-1,1,1,-1
2008,8,A,000,N,62,5405,3936,,20530,25490,,29010,36380,,41130,52130,,1,1,-1,1,1,-1
2008,8,A,000,N,71,1171,643,,17940,22010,,23410,31190,,33630,43820,,1,1,-1,1,1,-1
2008,8,A,000,N,72,4115,1765,,16910,17950,,21100,24050,,28830,33740,,1,1,-1,1,1,-1
2008,8,A,000,N,81,2900,1315,,21840,25510,,31600,37030,,46890,51680,,1,1,-1,1,1,-1
2008,8,A,000,N,92,7746,4855,,26270,34150,,34010,43190,,42380,57080,,1,1,-1,1,1,-1
2008,8,A,000,N,99,12980,10990,,34870,42950,,45350,55440,,61120,75000,,1,1,-1,1,1,-1
2008,8,2,10X,A,00,36440,18750,,21930,28860,,31750,41970,,47330,61210,,1,1,-1,1,1,-1
2008,8,2,11X,A,00,7698,3750,,26490,33830,,42570,53360,,67350,78750,,1,1,-1,1,1,-1
2008,8,2,12X,A,00,16290,8344,,25090,31980,,40510,49730,,72340,77660,,1,1,-1,1,1,-1
2008,8,2,13X,A,00,8391,4516,,24360,32110,,35940,44390,,50590,60790,,1,1,-1,1,1,-1
2008,8,2,14X,A,00,1971,1089,,26980,33970,,41810,50730,,66900,73020,,1,1,-1,1,1,-1
2008,8,2,15X,A,00,18100,9283,,25670,31800,,39570,46930,,59560,68920,,1,1,-1,1,1,-1
2008,8,2,16X,A,00,19020,8782,,24760,31010,,37220,45650,,55190,63590,,1,1,-1,1,1,-1
2008,8,2,17X,A,00,3684,1727,,21810,28410,,31420,40330,,44400,55820,,1,1,-1,1,1,-1
2008,8,2,18X,A,00,17820,8387,,21940,27570,,31620,39650,,44550,54830,,1,1,-1,1,1,-1
